 
Cincainum | Cincain(um, i n
Cinchocainum | Cinchocain(um, i n
Cinchophanum | Cinchophan(um, i n
Cinchophenum | Cinchophen(um, i n
cincinnus | cincinnus, i m
cinctus | I cinctus, a, um m
Cineas | Cineas, ae m
cinephotomachina | cinephotomachina, ae f
cinerarium | cinerarium, i n
Cinga | Cinga, ae f
Cingetorix | Cingetorix, igis m
cingula | cingula, ae f
cingulum | I cingulum, i n
cingulus | cingulus, i m
ciniflo | ciniflo, onis m
cinis | cinis, eris m
Cinna | Cinna, ae m
cinnamum | cinnamum, i n
Cinophenum | Cinophen(um, i n
Cinyphius | Cinyphius, a, um поэт.
Cinyps | Cinyps, ypis (yphis) m
Cinyras | Cinyras, ae m
Cios | Cios (-us), i f
