 
Solantoinum | Solantoin(um, i n
Solantylum | Solantyl(um, i n
Solapsonum | Solapson(um, i n
solarium | solarium, i n
Solasulfonum | Solasulfon(um, i n
solatium | solatium (solacium), i n
Solcainum | Solcain(um, i n
soldurii | soldurii, orum m
solea | solea, ae f
soleus | soleus, a, um анат.
solidum | solidum, i n
solitarius | solitarius, a, um анат.
solitudo | solitudo, inis f
solitum | solitum, i n
solium | solium, i n
sollemne | sollemne, is n
sollemniter | sollemniter (solemniter или solenniter) adv.
sollerter | sollerter adv.
sollertia | sollertia, ae f
sollicitatio | sollicitatio, onis f
sollicito | sollicito, avi, atum, are поэт.
sollicitudo | sollicitudo, inis f
sollicitus | sollicitus, a, um pass.
solliferreum | solliferreum (soliferreum), i n
sollus | sollus, a, um арх.
Solon | Solo(n), onis m
Soloxinum | Soloxin(um, i n
Solquinatum | Solquinat(um, i n
solstitium | solstitium, i n
Solufyllinum | Solufyllin(um, i n
Soluglaucitum | Soluglaucit(um, i n
solum | I solum adv.
solus | solus, a, um gen.
Solusulfonum | Solusulfon(um, i n
Solusurminum | Solusurmin(um, i n
Solutanum | Solutan(um, i n
solute | solute adv.
Soluthizonum | Soluthizon(um, i n
solutio | solutio, onis f
solutus | solutus, a, um хим.
solvo | solvo, solvi, solutum, ere pass.
soma | soma, atis n
Somadrilum | Somadril(um, i n
Somanilum | Somanil(um, i n
somaticus | somaticus, a, um анат.
somatogamia | somatogamia, ae f
somatogenus | somatogenus, a, um биолог.
Sombenum | Somben(um, i n
Somberolum | Somberol(um, i n
Sombrabilum | Sombrabil(um, i n
Sombrevinum | Sombrevin(um, i n
Somnalinum | Somnalin(um, i n
Somnibromum | Somnibrom(um, i n
Somnidonum | Somnidon(um, i n
Somnifer | Somnifer, a, um фармац.
somnifer | somnifer, era, erum поэт.
somnium | somnium, i n
Somnokalanum | Somnokalan(um, i n
Somnopanum | Somnopan(um, i n
Somnopentylum | Somnopentyl(um, i n
Somnotroponum | Somnotropon(um, i n
Somnurolum | Somnurol(um, i n
somnus | somnus, i m
Somonalum | Somonal(um, i n
Somponum | Sompon(um, i n
Sonalum | Sonal(um, i n
Sonapaxum | Sonapax(um, i n
Sonimenum | Sonimen(um, i n
sonipes | I sonipes, edis m
sonitus | sonitus, us m
sono | sono, sonui, sonitum, are поэт.
sonor | sonor, oris m
sons | I sons, sontis m
sonus | sonus, i m
Sopentalum | Sopental(um, i n
Sophocles | Sophocles, is m
Sophora | Sophora, ae f
Sophoretinum | Sophoretin(um, i n
Sophorinum | Sophorin(um, i n
Sopolcortum | Sopolcort(um, i n
sopor | sopor, oris m
Sorbangilum | Sorbangil(um, i n
sorbum | sorbum, i n
sorbus | sorbus, i f
sordes | sordes, is f
soror | soror, oris f
sororicida | sororicida, ae m
Sorotum | Sorot(um, i n
sors | sors, sortis f
sortitio | sortitio, onis f
sortito | sortito adv.
sortitus | I sortitus, a, um m
sospes | sospes, itis поэт.
sospita | sospita, ae f
soter | soter, eris m
Sovcainum | Sovcain(um, i n
spadix | I spadix, icis m
spado | spado, onis m
spargo | spargo, sparsi, sparsum, ere pass.
Sparinum | Sparin(um, i n
Sparta | Sparta, ae f
Spartacus | Spartacus, i m
spartum | spartum, i n
sparulus | sparulus, i m
sparus | sparus, i m
Spasmolytinum | Spasmolytin(um, i n
Spasmophenum | Spasmophen(um, i n
spasmophilia | spasmophilia, ae f
Spasmoveralginum | Spasmoveralgin(um, i n
spatiose | spatiose adv.
spatium | spatium, i n
species | species, ei f
specillum | specillum, i n
specimen | specimen, inis n
speciose | speciose adv.
spectaculum | spectaculum, i n
spectatio | spectatio, onis f
spectator | spectator, oris m
spectatrix | spectatrix, icis f
spectio | spectio, onis f
specula | I specula, ae f
speculator | speculator, oris m
speculum | speculum, i n
specus | specus, us m
spelaeum | spelaeum, i n
spelunca | spelunca, ae f
sperma | sperma, atis n
spermaticus | spermaticus, a, um анат.
spermatoblastum | spermatoblast(um, i n
spermatogenesis | spermatogenesis, is f
spermatogenus | spermatogenus, a, um биолог.
spermatogonium | spermatogonium, i n
spermatovum | spermatovum, i n
spermium | spermium, i n
spes | spes, ei f
sphenoethmoidalis | sphenoethmoidalis, e анат.
sphenoidalis | sphenoidalis, e анат.
sphenomandibularis | sphenomandibularis, e анат.
sphenomaxillaris | sphenomaxillaris, e анат.
sphenopalatinus | sphenopalatinus, a, um анат.
sphenoparietalis | sphenoparietalis, e анат.
sphenopetrosus | sphenopetrosus, a, um анат.
spheroides | spheroides, is анат.
Spheromycinum | Spheromycin(um, i n
sphincter | sphincter, tris m
Sphinx | Sphinx, Sphingis f
spica | spica, ae f
spiciformis | spiciformis, e биолог.
spicium | spicium, i n
spicula | spicula, ae f
spiculator | spiculator, oris m
spiculum | spiculum, i n
spicum | spicum, i n
spina | spina, ae f
spinalis | spinalis, e анат.
