 
iambus | iambus, i m
Isopromedolum | Isopromedol(um, i n
Isopropylarterenolum | Isopropylarterenol(um, i n
Isoprotanum | Isoprotan(um, i n
Isoproterenolum | Isoproterenol(um, i n
Isoptera | Isoptera, orum n
Isoptinum | Isoptin(um, i n
Isopyrastinum | Isopyrastin(um, i n
Isorbidum | Isorbid(um, i n
Isoreninum | Isorenin(um, i n
Isotebezidum | Isotebezid(um, i n
isotransplantatio | isotransplantatio, onis f
Isovalum | Isoval(um, i n
Isoverinum | Isoverin(um, i n
Isoxuprinum | Isoxuprin(um, i n
Istalum | Istal(um, i n
iste | iste, ista, istud gen.
Ister | Ister, tri m
Isthmus | I Isthmus (-os), i m
isti | isti adv.
istic | I istic, istaec, istoc (istuc) adv.
istinc | istinc adv.
Istopirinum | Istopirin(um, i n
Istria | Istria, ae f
istuc | istuc (isthuc) adv.
Isuprelum | Isuprel(um, i n
ita | ita adv.
Italchinum | Italchin(um, i n
Italia | Italia, ae f
itaque | itaque adv.
item | item adv.
iter | iter, itineris n
iterum | iterum adv.
Ithaca | Ithaca, ae f
itidem | itidem adv.
itio | itio, onis f
itus | itus, us m
