 
Persantinum | Persantinum, i n
persapienter | persapienter adv.
perscienter | perscienter adv.
perscriptio | perscriptio, onis f
perscriptor | perscriptor, oris m
Persedonum | Persedonum, i n
Persephone | Persephone, es f
Persepolis | Persepolis, is f
persequor | persequor, secutus (sequutus) sum, sequi юр.
Perses | Perses, ae m
Perseus | Perseus (=Perse^us), ei (eos) m
perseveranter | perseveranter adv.
perseverantia | perseverantia, ae f
Persis | I Persis, idis (idos) f
persona | persona, ae f
perspicientia | perspicientia, ae f
perspicilia | perspicilia, ae f
perspicue | perspicue adv.
perspicuitas | perspicuitas, atis f
persto | persto, stiti, (statum), are поэт.
perstudiose | perstudiose adv.
persuadeo | persuadeo, suasi, suasum, ere impers.
persuasio | persuasio, onis f
persuasus | persuasus, us m
pertaedet | pertaedet, pertaesum est, ere impers.
pertento | pertento (pertempto), avi, atum, are поэт.
Perthidinum | Perthidinum, i n
pertica | pertica, ae f
pertinacia | pertinacia, ae f
pertinaciter | pertinaciter adv.
pertisum | pertisum (pertaesum) см.
pertractatio | pertractatio, onis f
Pertranquilum | Pertranquilum, i n
pertumultuose | pertumultuose adv.
perturbate | perturbate adv.
perturbatio | perturbatio, onis f
Pertussinum | Pertussinum, i n
pervarie | pervarie adv.
perveho | perveho, vexi, vectum, ere pass.
perverse | perverse adv.
perversitas | perversitas, atis f
pervesperi | pervesperi adv.
pervestigatio | pervestigatio, onis f
pervicacia | pervicacia, ae f
pervicaciter | pervicaciter adv.
pervigilatio | pervigilatio, onis f
pervigilium | pervigilium, i n
Pervitinum | Pervitinum, i n
pervium | pervium, i n
pes | pes, pedis m
pessime | pessime adv.
pessimus | pessimus, a, um adj.
pessum | pessum adv.
pestifere | pestifere adv.
pestilentia | pestilentia, ae f
pestis | pestis, is f
petaloideus | petaloideus, a, um биолог.
petalum | petalum, i n
Petidionum | Petidionum, i n
Petinimidum | Petinimidum, i n
petiolus | petiolus, i m
petitio | petitio, onis f
petitor | petitor, oris m
peto | peto, ivi (ii), itum, ere юр.
petoritum | petoritum, i n
petorritum | petorritum (petoritum), i n
petra | petra, ae f
petrooccipitalis | petrooccipitalis, e анат.
petrosquamosus | petrosquamosus, a, um анат.
petrosus | petrosus, a, um анат.
petrotympanicus | petrotympanicus, a, um анат.
petulanter | petulanter adv.
petulantia | petulantia, ae f
Peucedaninum | Peucedaninum, i n
Pevirosum | Pevirosum, i n
Pevitonum | Pevitonum, i n
Phaedra | Phaedra, ae f
Phaedrus | Phaedrus, i m
Phaethon | Phaethon, ontis m
phager | phager, gri m
phagocytus | phagocytus, i m
phalanga | phalanga, ae f
phalangitae | phalangitae, arum m
phalanx | phalanx, angis f
phalerae | phalerae, arum f
phallus | phallus, i m
Phanchinonum | Phanchinonum, i n
Phanoctalum | Phanoctalum, i n
Phanodormum | Phanodormum, i n
Phanquinonum | Phanquinonum, i n
Phanquonum | Phanquonum, i n
pharetra | pharetra, ae f
pharmaceutria | pharmaceutria, ae f
pharmacon | pharmacon, i n
pharmacopola | pharmacopola, ae m
pharmocopolium | pharmocopolium, i n
Pharmotalum | Pharmotalum, i n
Pharos | Pharos (-us), i f
Pharsalos | Pharsalos (-us), i f
pharyngeus | pharyngeus, a, um анат.
pharyngobasilaris | pharyngobasilaris, e анат.
