pergo |  pergo, perrexi, perrectum, ere
pergrandis |  pergrandis, e
pergratus |  pergratus, a, um
pergravis |  pergravis, e
pergraviter |  pergraviter adv.
perhibeo |  perhibeo, bui, bitum, ere
perhonorifice |  perhonorifice adv.
perhonorificus |  perhonorificus, a, um
perhorresco |  perhorresco, horrui, --, ere
perhorridus |  perhorridus, a, um
perhumaniter |  perhumaniter adv.
perhumanus |  perhumanus, a, um
Perhydritum |  Perhydrit(um, i n
Perhydrolum |  Perhydrolum, i n
perianalis |  perianalis, e анат.
perianthium |  perianthium, i n
periapicalis |  periapicalis, e анат.
periappendicularis |  periappendicularis, e анат.
periarterialis |  periarterialis, e анат.
periarthritis |  periarthritis, idis f
periarticularis |  periarticularis, e анат.
periauricularis |  periauricularis, e анат.
peribronchialis |  peribronchialis, e анат.
pericardiacophrenicus |  pericardiacophrenicus, a, um анат.
pericarditis |  pericarditis, idis f
pericardium |  pericardium, i n
perichondritis |  perichondritis, idis f
perichondrium |  perichondrium, i n
perichorioidealis |  perichorioidealis, e анат.
Pericles |  Pericles, is m
periclitatio |  periclitatio, onis f
periclitor |  periclitor, atus sum, ari
pericranium |  pericranium, i n
periculose |  periculose adv.
periculosus |  periculosus, a, um
